jobnum,effectivedate,bin,boroname,housenumber,streetname,block,lot,numofdwellingunits,occupancyclass,certificatetype,buildingtypedesc,docstatus,cofo_year
102494249,6/29/07,1075959,Manhattan,240,CENTRE STREET,472,7501,54,RES,T- TCO,Altered,F- Final,07
102494249,11/1/07,1075959,Manhattan,240,CENTRE STREET,472,7501,54,RES,T- TCO,Altered,F- Final,07
102494249,2/13/08,1075959,Manhattan,240,CENTRE STREET,472,7501,54,RES,T- TCO,Altered,F- Final,08
102494249,2/23/09,1075959,Manhattan,240,CENTRE STREET,472,7501,56,RES,T- TCO,Altered,F- Final,09
102494249,4/3/09,1075959,Manhattan,240,CENTRE STREET,472,7501,56,RES,C- CO,Altered,F- Final,09
102549299,9/3/09,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,09
102549299,1/14/10,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,2010-PreCensus
102549299,4/23/10,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,2010-PostCensus
102549299,7/29/10,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,2010-PostCensus
102549299,10/29/10,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,2010-PostCensus
102549299,5/20/11,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,11
102549299,8/17/11,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,11
102549299,11/14/11,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,11
102549299,2/17/12,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,12
102549299,5/16/12,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,12
102549299,8/15/12,1079847,Manhattan,99,3 AVENUE,468,7,30,RES,T- TCO,Altered,F- Final,12
102549299,9/13/12,1079847,Manhattan,99,3 AVENUE,468,7,32,RES,T- TCO,Altered,F- Final,12
102549299,1/18/13,1079847,Manhattan,99,3 AVENUE,468,7,32,RES,T- TCO,Altered,F- Final,13
102549299,4/30/13,1079847,Manhattan,99,3 AVENUE,468,7,32,RES,T- TCO,Altered,F- Final,13
102549299,8/5/13,1079847,Manhattan,99,3 AVENUE,468,7,32,R-2,T- TCO,Altered,F- Final,13
102549299,11/1/13,1079847,Manhattan,99,3 AVENUE,468,7,32,R-2,T- TCO,Altered,F- Final,13
102549299,12/31/13,1079847,Manhattan,99,3 AVENUE,468,7,32,R-2,C- CO,Altered,F- Final,13
102597691,5/6/07,1005911,Manhattan,286,EAST   10 STREET,437,24,1,RES,T- TCO,Altered,F- Final,07
102597691,6/2/09,1005911,Manhattan,286,EAST   10 STREET,437,24,2,RES,T- TCO,Altered,F- Final,09
102597691,8/25/09,1005911,Manhattan,286,EAST   10 STREET,437,24,2,RES,T- TCO,Altered,F- Final,09
102597691,11/23/09,1005911,Manhattan,286,EAST   10 STREET,437,24,2,RES,T- TCO,Altered,F- Final,09
102597691,7/1/10,1005911,Manhattan,286,EAST   10 STREET,437,24,11,RES,C- CO,Altered,F- Final,2010-PostCensus
102685284,2/7/07,1010290,Manhattan,491,GREENWICH STREET,594,21,24,RES,T- TCO,Altered,F- Final,07
102685284,5/21/07,1010290,Manhattan,491,GREENWICH STREET,594,21,24,RES,T- TCO,Altered,F- Final,07
102685284,4/22/08,1010290,Manhattan,491,GREENWICH STREET,594,21,24,RES,T- TCO,Altered,F- Final,08
102685284,7/29/08,1010290,Manhattan,491,GREENWICH STREET,594,21,24,RES,T- TCO,Altered,F- Final,08
102685284,11/3/08,1010290,Manhattan,491,GREENWICH STREET,594,21,24,RES,T- TCO,Altered,F- Final,08
102685284,11/26/08,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,08
102685284,2/4/09,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,09
102685284,5/15/09,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,09
102685284,8/12/09,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,09
102685284,11/10/09,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,09
102685284,1/27/10,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,2010-PreCensus
102685284,5/7/10,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,2010-PostCensus
102685284,10/13/10,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,2010-PostCensus
102685284,1/13/11,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,11
102685284,4/6/11,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,11
102685284,7/6/11,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,11
102685284,9/28/11,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,11
102685284,12/20/11,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,11
102685284,3/9/12,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,12
102685284,5/31/12,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,12
102685284,9/27/12,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,12
102685284,12/14/12,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,12
102685284,3/11/13,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,13
102685284,5/30/13,1010290,Manhattan,491,GREENWICH STREET,594,21,25,RES,T- TCO,Altered,F- Final,13
102685284,9/30/13,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,13
102685284,4/24/14,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,14
102685284,7/23/14,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,14
102685284,10/16/14,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,14
102685284,12/30/14,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,14
102685284,3/26/15,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,15
102685284,6/24/15,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,15
102685284,9/14/15,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,15
102685284,12/9/15,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,15
102685284,3/8/16,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,16
102685284,8/17/17,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,17
102685284,11/9/17,1010290,Manhattan,491,GREENWICH STREET,594,21,26,RES,T- TCO,Altered,F- Final,17
102697841,1/19/07,1051446,Manhattan,65,EAST   96 STREET,1602,29,23,RES,T- TCO,Altered,F- Final,07
102697841,4/16/07,1051446,Manhattan,65,EAST   96 STREET,1602,29,23,RES,T- TCO,Altered,F- Final,07
102697841,7/6/07,1051446,Manhattan,65,EAST   96 STREET,1602,29,23,RES,T- TCO,Altered,F- Final,07
102697841,10/2/07,1051446,Manhattan,65,EAST   96 STREET,1602,29,23,RES,T- TCO,Altered,F- Final,07
102697841,1/18/08,1051446,Manhattan,65,EAST   96 STREET,1602,29,23,RES,T- TCO,Altered,F- Final,08
102697841,4/18/08,1051446,Manhattan,65,EAST   96 STREET,1602,29,23,RES,T- TCO,Altered,F- Final,08
102697841,7/9/08,1051446,Manhattan,65,EAST   96 STREET,1602,29,23,RES,T- TCO,Altered,F- Final,08
102697841,10/7/08,1051446,Manhattan,65,EAST   96 STREET,1602,29,23,RES,T- TCO,Altered,F- Final,08
102697841,1/30/09,1051446,Manhattan,65,EAST   96 STREET,1602,29,23,RES,T- TCO,Altered,F- Final,09
102697841,2/25/09,1051446,Manhattan,65,EAST   96 STREET,1602,29,51,RES,T- TCO,Altered,F- Final,09
102697841,6/1/09,1051446,Manhattan,65,EAST   96 STREET,1602,29,51,RES,T- TCO,Altered,F- Final,09
102697841,8/28/09,1051446,Manhattan,65,EAST   96 STREET,1602,29,51,RES,T- TCO,Altered,F- Final,09
102697841,12/4/09,1051446,Manhattan,65,EAST   96 STREET,1602,29,51,RES,T- TCO,Altered,F- Final,09
102697841,4/20/10,1051446,Manhattan,65,EAST   96 STREET,1602,29,59,RES,C- CO,Altered,F- Final,2010-PostCensus
